source,target,True_label,training_edge
160717894X,1608299589,0,0
160717894X,1608299775,0,0
160717894X,1608299988,0,0
160717894X,1617160210,0,0
160717894X,1617160822,0,0
160717894X,1617160857,0,0
160717894X,1617168718,0,0
160717894X,1617168777,0,0
B00005APYM,160717894X,0,1
160717894X,B00A9N0HGA,0,0
160717894X,B00E6SLRX6,0,0
1607178990,1607179202,0,0
1608293017,1607178990,1,1
1607178990,1608297128,0,0
1607178990,1608299627,0,0
1607178990,1608299635,0,0
1607178990,1608299643,0,1
1607178990,1617168718,0,0
B001AFCWBO,1607178990,0,0
1607178990,B00310UXQW,0,0
1607178990,B00A9N0HGA,0,0
1607179040,1607179008,0,0
160717930X,1607179008,1,0
1607179008,1608297160,0,0
1607179008,1617160040,0,0
1607179008,1617160067,0,0
1607179008,1617160075,0,0
1607179008,1617160822,0,0
1607179008,1617160857,0,0
1607179008,B0083TP500,0,0
1607179040,1608297160,0,0
1607179040,1617160040,0,0
1607179040,1617160067,0,0
1607179040,1617160075,0,0
1607179040,B0083TP500,0,1
1607179105,1608299740,0,0
1607179105,1608299767,0,0
1607179105,1608299775,0,0
1607179202,1607179210,1,1
1607179245,1607179202,0,1
160717930X,1607179202,1,1
1607179806,1607179202,1,1
1608297187,1607179202,0,0
B00004YUGL,1607179202,0,0
B0011DM0HQ,1607179202,0,0
B001QFA17A,1607179202,0,0
B00282UXC8,1607179202,0,0
1607179202,B002U0L1BU,1,1
B00A9N0HGA,1607179202,0,1
1607179245,1607179210,0,0
1608297187,1607179210,0,0
1607179245,1607179970,0,1
1607179245,1608292983,0,0
1607179245,1608293017,0,0
1607179245,1608297128,0,0
1607179245,1608297160,0,0
1607179245,1608297187,0,0
1607179245,1608299775,0,0
1607179245,1608299988,0,0
1607179245,1617160075,0,0
1607179245,1617160210,0,0
1607179245,1617160784,0,0
1607179245,1617160822,0,0
1607179245,1617160830,0,0
1607179245,1617160849,0,0
1607179245,1617160857,0,1
1607179245,1617160938,0,1
1607179245,1617160946,0,0
B000BKH1JC,1607179245,0,1
B001AFFZM2,1607179245,0,1
1607179245,B001QFA17A,0,0
B00282UXC8,1607179245,0,0
1607179245,B002U0L1BU,0,1
1607179245,B002UEKTK0,0,0
1607179245,B002ZF31NQ,0,0
1607179245,B00A9N0HGA,0,0
1607179245,B00BZYIJOO,0,0
1607179342,160717930X,0,0
1608299961,160717930X,0,0
B006ZP92O4,160717930X,0,0
B00A9N0HGA,160717930X,0,0
1607179342,1608297128,0,1
1607179342,1608299953,0,0
1607179342,1608299961,0,0
1607179342,160829997X,0,0
1607179342,1608299988,0,0
1607179342,1617160822,0,0
1607179342,1617160857,0,0
1607179342,B0012JK6DY,0,0
1607179342,B0016ZOUUO,0,0
1607179342,B004CRNACW,0,0
B006ZP92O4,1607179342,0,1
1607179342,B0079K8D3A,0,0
1607179393,160717944X,0,0
1607179393,1608297128,0,0
1607179393,1608299589,0,0
1607179393,1608299988,0,0
1607179393,1617160075,0,0
1607179393,161716013X,0,0
1607179393,1617160156,0,0
1607179393,1617160210,0,0
1607179393,1617160393,0,0
1607179393,1617160407,0,0
1607179393,1617160482,0,0
1607179393,1617160857,0,0
1607179393,1617168718,0,0
1607179393,1617168777,0,0
B0002YO0UK,1607179393,0,0
1607179407,160717944X,0,0
1607179407,1617160199,0,0
1607179407,1617160210,0,0
B000RL7IX4,1607179407,0,0
B001AFD5EC,1607179407,0,0
B00158QGTK,160717944X,0,0
B001AFD5EC,160717944X,0,1
1607179547,1607179504,0,0
1607179504,1608293017,0,0
1607179504,1608297144,0,0
1607179504,1617160377,0,1
1607179504,1617160385,0,0
1607179504,1617160393,0,0
1607179504,1617160407,0,0
1607179504,1617160822,0,0
1607179504,B0026PI8QA,0,0
1607179547,1608297144,0,0
1607179547,1617160377,0,0
1607179547,1617160385,0,0
1607179547,1617160393,0,0
1607179547,1617160407,0,0
1607179555,1617160466,0,0
1607179555,1617160482,0,0
1607179555,1617160822,0,0
1607179555,1617160857,0,0
1607179555,2749004373,0,0
B001AFEO9C,1607179555,0,0
B001AFFYSW,1607179555,0,0
1607179695,1608299708,0,0
1607179695,1608299988,0,0
1607179695,1617160075,0,0
1607179695,1617160822,0,0
1607179695,1617160857,0,1
B00005APYN,1607179695,0,0
1607179741,1607179709,0,0
1607179709,1617160644,0,0
1607179709,1617160660,0,0
1607179741,1608293017,0,0
1607179741,1608299988,0,1
1607179741,1617160075,0,0
1607179741,1617160644,0,0
1607179741,1617160660,0,0
1607179741,1617160822,0,0
1607179741,1617160857,0,0
1607179792,160717975X,0,0
160717975X,1608299988,0,0
160717975X,1617160709,0,0
160717975X,1617160725,0,0
160717975X,1617160857,0,0
1607179792,1608297128,0,1
1607179792,1608299775,0,0
1607179792,1608299988,0,1
1607179792,1617160075,0,0
1607179792,1617160407,0,0
1607179792,1617160482,0,0
1607179792,1617160709,0,0
1617160717,1607179792,0,0
1607179792,1617160725,0,0
1607179792,1617160857,0,1
B000P87C8U,1607179792,0,0
1607179792,B00G3E5RNM,0,0
1617160784,1607179806,0,0
B00004YUGO,1607179806,0,0
160717989X,1608293017,0,0
160717989X,1608299988,0,0
160717989X,1617160075,0,0
160717989X,1617160857,0,0
160717989X,1617161004,0,1
160717989X,1617161020,0,0
160717989X,B00A9N0HGA,0,0
1607179970,1608293017,1,1
1607179970,1608297128,1,1
1617164798,1607179970,0,0
1607179970,B002U0L1BU,1,1
B00A9N0HGA,1607179970,0,0
1607438100,B006X37P2E,0,0
1608290077,1608290050,0,1
1608290050,1608299899,0,0
1608290050,1608299910,0,0
1608290077,1608299899,0,0
1608290077,1608299910,0,0
1608290077,1617160075,0,0
1608290077,1617160857,0,1
B0027EWKQE,1608290077,0,0
1608293017,1608292983,1,1
1608297128,1608292983,1,1
1608297144,1608292983,0,0
1608299740,1608292983,0,1
1608299759,1608292983,0,0
1608299767,1608292983,0,0
1608292983,1608299775,1,1
1608292983,1617160075,1,1
1608292983,1617160407,1,1
1617164798,1608292983,0,0
B0016A3R26,1608292983,0,0
B0049F6EIY,1608292983,0,0
B00A9N0HGA,1608292983,0,0
1608293017,1608297128,1,1
1608297144,1608293017,0,0
1608297160,1608293017,1,1
1608297187,1608293017,0,0
161716089X,1608293017,0,0
1931020752,1608293017,0,0
2749010993,1608293017,0,0
2749013666,1608293017,0,0
B00004YUGL,1608293017,0,0
B000063J7S,1608293017,0,0
B000P87C80,1608293017,0,0
B0010YBZ1I,1608293017,0,0
B0011DM0HQ,1608293017,0,0
B001AFFZRC,1608293017,0,0
B001QFA17A,1608293017,0,0
B00282UXC8,1608293017,0,0
1608293017,B002U0L1BU,1,0
B002UEKTK0,1608293017,0,0
B00488IPLG,1608293017,0,1
B0049F6GZK,1608293017,0,0
B00A9N0HGA,1608293017,0,0
1608294625,B000TFBZ64,0,0
1608294722,1617160075,0,0
1608294722,B001FK9G2C,0,1
1608297128,1608297144,1,1
1608297160,1608297128,1,1
1608297187,1608297128,1,1
1608299961,1608297128,0,0
B0009JMW0S,1608297128,0,1
B0011DQ1S0,1608297128,0,0
B0016ZOUUO,1608297128,0,0
B002SCR6GY,1608297128,0,0
B003O56UYS,1608297128,0,0
B0049F8EG4,1608297128,0,0
B004B7IO7Y,1608297128,0,0
B006ZP92O4,1608297128,0,1
B00A9N0HGA,1608297128,0,0
1608297144,1608297160,0,0
1608297144,1608299562,0,0
1608297144,1608299589,0,0
1608297144,1608299708,0,0
1608297144,1608299775,0,0
1608297144,1608299988,0,0
1608297144,1617160040,0,1
1608297144,1617160067,0,0
1608297144,1617160075,0,0
1608297144,1617160156,0,0
1608297144,1617160210,0,1
1608297144,1617160334,0,0
1608297144,1617160377,0,0
1608297144,1617160385,0,1
1608297144,1617160393,0,0
1608297144,1617160407,0,0
1608297144,1617160482,0,0
1608297144,1617160601,0,0
1608297144,1617160725,0,0
1608297144,1617160822,0,0
1608297144,1617160857,0,0
1608297144,1617160946,0,0
1608297144,1617161020,0,0
1608297144,161716108X,0,0
1608297144,1617168718,0,0
1608297144,1617168777,0,0
B001AFD8XK,1608297144,0,0
1608297144,B001GBZALQ,0,1
1608297144,B0026PI8QA,0,0
1608297144,B0027ESKNG,0,0
1608297144,B003CVR1RY,0,0
1608297144,B004B7HVGO,0,0
1608297144,B004CRNACW,0,0
B006ZP92O4,1608297144,0,0
1608297144,B00A3N5W9S,0,0
1608297144,B00A9N0HGA,0,0
1608297187,1608297160,0,0
B000077DD3,1608297160,0,0
B000GCGQ9G,1608297160,0,0
B0011SGVZI,1608297160,0,0
B0026PI8JC,1608297160,0,1
B006ZP92O4,1608297160,0,0
1608297187,1608299775,0,0
1608297187,1608299988,0,0
1608297187,1617160482,0,0
1608297187,1617160822,0,0
1608297187,1617160830,0,0
1608297187,1617160849,0,0
1608297187,1617160857,0,0
1608297187,1617160911,0,1
1608297187,1617160938,0,0
1608297187,1617160946,0,0
1608297187,1617168718,0,0
1608297187,1617168777,0,0
1608297187,B0017NWWUA,0,0
B00282UXC8,1608297187,0,0
1608297187,B002ZF31NQ,0,0
1608297187,B006WODYUQ,0,0
1608297187,B008NP76FQ,0,1
1608297187,B00A9N0HGA,0,0
1608297187,B00G212LOY,0,0
1608299562,1608299953,1,0
B00005APYM,1608299562,0,0
B000077DCY,1608299562,0,0
B004B7MH2M,1608299562,0,0
1608299643,1608299589,0,1
1608299589,1608299775,1,1
1608299589,1608299988,1,1
1608299589,1617160075,1,1
1608299589,1617160210,1,1
1617160482,1608299589,1,1
1608299589,1617160547,1,1
1608299589,1617160601,1,1
1608299589,1617160725,1,0
1617160784,1608299589,0,0
1608299589,1617160857,1,1
1617164798,1608299589,0,0
1608299589,1617168718,1,1
1608299589,1617168777,1,1
2749004322,1608299589,0,0
B00005APYM,1608299589,0,0
B000077DCY,1608299589,0,0
B000TFBXDO,1608299589,0,0
B000TFBZ64,1608299589,0,0
B000TFHZWC,1608299589,0,0
B001AFANZG,1608299589,0,0
B001AFEATQ,1608299589,0,0
B002O79QNE,1608299589,0,0
B002RBQUXQ,1608299589,0,0
B004B7MH2M,1608299589,0,0
B00A9N0HGA,1608299589,0,0
1608299635,1608299627,0,0
1608299643,1608299627,0,0
1608299953,1608299627,1,1
1608299627,1617160040,1,0
1617160466,1608299627,1,1
1617160784,1608299627,0,0
1608299627,1617160822,1,1
1608299627,1617168718,1,1
B000077DCZ,1608299627,0,0
B006CVV4HE,1608299627,1,1
B00A9N0HGA,1608299627,0,0
1608299635,1608299643,0,0
1608299635,1608299759,0,1
1608299961,1608299635,0,1
1608299635,1617160385,0,0
1608299635,1617160822,0,0
1608299635,1617160830,0,1
1608299635,1617168718,0,0
B000077DCZ,1608299635,0,0
1608299635,B00310UXQW,0,1
1608299643,1608299708,0,0
1608299643,1608299910,0,0
1608299643,160829997X,0,0
1608299643,1617160067,0,0
1608299643,1617160210,0,0
1608299643,161716027X,0,0
1608299643,1617160334,0,0
1608299643,1617160393,0,0
1608299643,1617160482,0,0
1608299643,1617160547,0,0
1608299643,1617160601,0,0
1608299643,1617160725,0,1
1608299643,1617160784,0,0
1608299643,1617160849,0,0
1608299643,1617160938,0,0
1608299643,1617160946,0,0
1608299643,1617161020,0,0
1608299643,161716108X,0,0
1608299643,1617161144,0,0
1608299643,1617164798,0,0
1608299643,1617168718,0,0
B00005Y3VF,1608299643,0,0
B000077DCZ,1608299643,0,0
B0000AFVEO,1608299643,0,0
1608299643,B000PRBV74,0,1
B001AFCWBO,1608299643,0,0
1608299643,B00310UXQW,0,0
1608299643,B004B7MGOQ,0,0
1608299643,B00A9N0HGA,0,0
1608299708,1608299988,1,1
1608299708,1617160075,1,1
1617160318,1608299708,0,0
1608299708,1617160407,1,0
1608299708,1617160482,1,1
1608299708,1617160725,1,1
1617160784,1608299708,0,0
1617164798,1608299708,0,0
1608299708,1617168777,1,1
B00005APYN,1608299708,0,0
B000TFG122,1608299708,0,0
B001GBG5VK,1608299708,0,0
1608299759,1608299740,0,1
1608299767,1608299740,0,0
1608299740,1608299775,0,0
1608299740,1617160040,0,0
1608299740,1617160377,0,1
1608299740,1617160822,1,1
1608299740,1617164798,0,1
B0016A3R26,1608299740,0,1
B00488IPLG,1608299740,0,0
B0049F6EIY,1608299740,0,1
B00COQ0AIA,1608299740,0,0
1608299767,1608299759,0,0
1608299759,1608299775,0,0
1608299961,1608299759,0,0
1608299759,1617160385,0,0
1608299759,1617160822,0,0
1608299759,1617160830,0,0
1608299759,1617160857,0,0
1608299759,1617164798,0,0
1608299767,1608299775,0,0
1608299899,1608299767,0,0
1608299767,1617160156,0,0
1617160849,1608299767,1,1
1617164798,1608299767,0,1
B006ZP92O4,1608299767,0,1
1608299767,B00EZKNYXG,0,0
1608299767,B00FB5R4L2,0,0
1608299767,B00GC1ZMYA,0,0
1608299813,1608299775,0,0
1608299961,1608299775,0,0
1608299988,1608299775,1,0
1608299775,1617160075,1,1
1608299775,1617160857,1,1
1608299775,1617160946,1,1
1617161144,1608299775,1,0
1617164798,1608299775,0,0
1608299775,1617168718,1,1
1617168777,1608299775,1,1
B000059OSA,1608299775,0,0
B000HZGQB0,1608299775,0,0
B000PKMFQ2,1608299775,0,0
B00117SUHG,1608299775,0,0
B0011DKCTY,1608299775,0,0
B0016A3R26,1608299775,0,0
B0016ZOUUO,1608299775,0,0
B0026PI85G,1608299775,0,0
B00282NFT6,1608299775,0,0
B00282UX6Y,1608299775,0,0
B00282UXC8,1608299775,0,0
B003CVR1PG,1608299775,0,0
B0046TPO5W,1608299775,0,0
B0049F6EIY,1608299775,0,0
B0049F6GZK,1608299775,0,0
B00A9N0HGA,1608299775,0,0
B00COQ0AIA,1608299775,0,0
1608299899,1608299910,0,0
1608299899,1608299988,0,0
1608299899,1617160318,0,0
1608299899,1617160857,0,0
B000TFI058,1608299899,0,0
1608299902,1608299910,0,0
1608299937,1608299910,0,0
1608299910,1608299988,1,1
1608299910,1617160482,1,1
1608299910,1617160601,1,1
1608299910,1617160857,1,1
1608299910,1617161144,1,1
1617164798,1608299910,0,0
1608299910,1617168718,1,1
B00064SYK8,1608299910,0,0
B000TFI058,1608299910,0,1
B000TFI08U,1608299910,0,0
B001FK3N4E,1608299910,0,0
B0027EWKQE,1608299910,0,0
B00A9N0HGA,1608299910,0,0
1608299961,1608299953,0,0
1608299953,1617160040,1,0
1617160318,1608299953,0,1
1608299953,1617160377,1,1
1617160466,1608299953,1,1
1617160709,1608299953,1,1
1608299953,1617160768,1,1
1608299953,1617160822,1,1
1608299953,1617160857,1,1
1617160911,1608299953,1,1
B00001SHL1,1608299953,0,0
B00004YUGM,1608299953,0,0
B00005J8D2,1608299953,0,0
B00099XDPG,1608299953,0,0
B0009JMW0S,1608299953,0,0
B000TFA08S,1608299953,0,0
B0011DO1KK,1608299953,0,1
B0014B9GUY,1608299953,0,1
B0016ZOUUO,1608299953,0,0
B003O56UYS,1608299953,0,0
B0049F8EUA,1608299953,0,0
B004B7IO7Y,1608299953,0,0
B006CVV4HE,1608299953,1,0
B006ZP92O4,1608299953,0,0
B00A9N0HGA,1608299953,0,0
1608299961,160829997X,0,0
1608299961,1608299988,0,0
1608299961,1617160385,0,0
1608299961,1617160822,0,0
1617160830,1608299961,1,1
1608299961,1617160857,0,0
B000077DD2,1608299961,0,0
1608299961,B0012JK6DY,0,0
1608299961,B0016ZOUUO,0,0
1608299961,B002ZF31NQ,0,0
1608299961,B004CRNACW,0,0
B006ZP92O4,1608299961,0,0
160829997X,1617160067,1,1
160829997X,1617160393,1,0
160829997X,1617160482,1,1
1617160784,160829997X,0,0
160829997X,1617160849,1,1
160829997X,1617160857,1,0
B0002YAZC2,160829997X,0,0
B000TFG00U,160829997X,0,0
B0016ZOUUO,160829997X,0,1
B001AFD20E,160829997X,0,0
B0026PEPT4,160829997X,0,0
B003O56UYS,160829997X,0,0
B0049F8EUA,160829997X,0,0
B004B7IO7Y,160829997X,0,0
B006ZP92O4,160829997X,0,0
B00A9N0HGA,160829997X,0,0
1608299988,1617160075,1,0
161716013X,1608299988,0,0
161716027X,1608299988,1,1
1617160318,1608299988,0,0
1617160334,1608299988,1,1
1608299988,1617160407,1,1
1617160482,1608299988,1,0
1617160601,1608299988,1,1
1617160660,1608299988,1,1
1617160725,1608299988,1,1
1617160784,1608299988,0,0
1608299988,1617160857,1,0
